	id	title_orig_case	source	headline	masked	predicted	new span	predicted_score	method	Humorousness	Grammaticality	Humorousness_b	Grammaticality_b
52	106180	 People Are Going To Prison Thanks To DNA Software — But How It Works Is Secret	AllTheNewsComponentsOne	people are going to prison thanks to dna software — but how it works is secret	people are going to prison thanks to dna software — but how it works [MASK] secret	people are going to prison thanks to dna software — but how it works top secret	top	0,8928496242	bert_jokes	0	1	0	2
54	151754	Britain is changed utterly. Unless this summer is just a bad dream	AllTheNewsComponentsOne	britain is changed utterly. unless this summer is just a bad dream	britain is changed [MASK] . unless this summer is just a bad dream	britain is changed today . unless this summer is just a bad dream	today	0,949893117	bert_jokes	0	1	0	2
55	196838	The things that need to happen for AHCA to pass aren’t yet happening	AllTheNewsKaggle	the things that need to happen for ahca to pass aren ’ t yet happening	the things that need to happen for ahca to pass [MASK] ’ t yet happening	the things that need to happen for ahca to pass ain ’ t yet happening	ain	0,8516352177	bert_jokes	0	1	0	0
58	145097	Wall Street just had its worst ever first week to start a year	AllTheNewsComponentsOne	wall street just had its worst ever first week to start a year	wall street just had its worst [MASK] first week to start a year	wall street just had its worst week first week to start a year	week	0,9960513711	bert_jokes	0	2	0	0
60	16669	Kansas State puts up strong defensive effort in 23-0 shutout of Texas - LA Times	AllTheNewsComponentsOne	kansas state puts up strong defensive effort in 23-0 shutout of texas- la times	kansas state puts up [MASK] defensive effort in 23 - 0 shutout of texas- la times	kansas state puts up highest defensive effort in 23 - 0 shutout of texas- la times	highest	0,0003152938	bert_jokes	0	3	0	0
61	212077	EgyptAir plane made ‘sudden swerves’ before vanishing over Mediterranean	AllTheNewsComponentsOne	egyptair plane made ‘ sudden swerves ’ before vanishing over mediterranean	egyptair plane made ‘ [MASK] swerves ’ before vanishing over mediterranean	egyptair plane made ‘ plane swerves ’ before vanishing over mediterranean	plane	0,0119814528	bert_jokes	0	2	0	0
63	104756	 DeRay Mckesson Releases First Campaign Web Videos	AllTheNewsKaggle	deray mckesson releases first campaign web videos	deray mckesson releases first campaign [MASK] videos	deray mckesson releases first campaign advertising videos	advertising	0,0002014001	bert_jokes	0	1	0	0
64	196134	The story behind 84 Lumber’s Super Bowl ad about Trump’s border wall	AllTheNewsKaggle	the story behind 84 lumber ’ s super bowl ad about trump ’ s border wall	the story behind 84 lumber ’ s super bowl [MASK] about trump ’ s border wall	the story behind 84 lumber ’ s super bowl joke about trump ’ s border wall	joke	0,0020516017	bert_jokes	0	3	0	0
65	172020	When The U.S. Backs Gay And Lesbian Rights In Africa, Is There A Backlash?	AllTheNewsComponentsOne	when the u. s. backs gay and lesbian rights in africa, is there a backlash?	when the u. s. backs gay and lesbian [MASK] in africa , is there a backlash ?	when the u. s. backs gay and lesbian bars in africa , is there a backlash ?	bars	0,0004715302	bert_jokes	1	3	1	2
66	11033	Man with machete at New Orleans airport critically wounded by police - LA Times	AllTheNewsComponentsOne	man with machete at new orleans airport critically wounded by police- la times	man with machete at new orleans airport critically [MASK] by police- la times	man with machete at new orleans airport critically caught by police- la times	caught	0,0037302724	bert_jokes	0	3	0	0
69	33124	J. Rachel Reed on 'K-9 Korea: The Untold Story of America's War Dogs in the Korean War'	AllTheNewsComponentsOne	j. rachel reed on' k- 9 korea: the untold story of america's war dogs in the korean war'	j. rachel reed on ' k- 9 korea : the untold [MASK] of america 's war dogs in the korean war '	j. rachel reed on ' k- 9 korea : the untold number of america 's war dogs in the korean war '	number	0,0002049905	bert_jokes	0	3	0	0
71	171477	Ethiopia Grapples With The Aftermath Of A Deadly Weekend	AllTheNewsComponentsOne	ethiopia grapples with the aftermath of a deadly weekend	ethiopia grapples with the aftermath of a deadly [MASK]	ethiopia grapples with the aftermath of a deadly accident	accident	0,0003030332	bert_jokes	0	3	0	2
72	129322	Phil Jackson has one pressing job that will decide Knicks’ future	AllTheNewsComponentsOne	phil jackson has one pressing job that will decide knicks ’ future	phil jackson has one [MASK] job that will decide knicks ’ future	phil jackson has one last job that will decide knicks ’ future	last	0,0002230815	bert_jokes	0	3	0	2
78	79684	Fidel Castro's 90th Birthday Message	AllTheNewsComponentsOne	fidel castro's 90th birthday message	fidel castro 's 90th [MASK] message	fidel castro 's 90th death message	death	0,0048873322	bert_jokes	0	3	0	0
82	165057	2 Scientists, 2 Different Approaches To Saving Bees From Poison Dust	AllTheNewsComponentsOne	2 scientists, 2 different approaches to saving bees from poison dust	2 scientists , 2 different [MASK] to saving bees from poison dust	2 scientists , 2 different rules to saving bees from poison dust	rules	0,0144737968	bert_jokes	0	1	0	3
83	212833	Alicia Keys is done playing nice. Your phone is getting locked up at her shows now.	AllTheNewsComponentsOne	alicia keys is done playing nice. your phone is getting locked up at her shows now.	alicia keys is done [MASK] nice . your phone is getting locked up at her shows now .	alicia keys is done sounds nice . your phone is getting locked up at her shows now .	sounds	0,99990201	bert_jokes	0	2	0	0
85	150956	El Chapo is not a Robin Hood but a ’cancerous tumour’, US prosecutor says	AllTheNewsKaggle	el chapo is not a robin hood but a ’ cancerous tumour ’, us prosecutor says	el chapo is not a robin hood but a ’ cancerous tumour ’ , us prosecutor [MASK]	el chapo is not a robin hood but a ’ cancerous tumour ’ , us prosecutor said	said	0,0004872365	bert_jokes	0	3	0	2
93	73662	Deciphering the Bizarre Twist Ending of Split	AllTheNewsComponentsOne	deciphering the bizarre twist ending of split	deciphering the [MASK] twist ending of split	deciphering the final twist ending of split	final	0,2636411488	bert_jokes	0	2	0	0
94	161618	Army Says It Is Expediting Review Of Dakota Access Pipeline Route	AllTheNewsKaggle	army says it is expediting review of dakota access pipeline route	army says it is expediting [MASK] of dakota access pipeline route	army says it is expediting construction of dakota access pipeline route	construction	0,0001477767	bert_jokes	0	2	0	3
95	143767	How Colon’s artistry helps Mets aces tap into unreal promise	AllTheNewsComponentsOne	how colon ’ s artistry helps mets aces tap into unreal promise	how colon ’ s artistry [MASK] mets aces tap into unreal promise	how colon ’ s artistry did mets aces tap into unreal promise	did	0,0239632521	bert_jokes	0	0	0	2
97	116726	Planned Parenthood’s Long-Delayed Annual Report Is Here	AllTheNewsComponentsOne	planned parenthood ’ s long-delayed annual report is here	planned [MASK] ’ s long - delayed annual report is here	planned year ’ s long - delayed annual report is here	year	0,0001383209	bert_jokes	0	2	0	0
98	81271	Uncovering Cells' Hidden Genetic Scaffolding	AllTheNewsComponentsOne	uncovering cells' hidden genetic scaffolding	uncovering cells ' hidden [MASK] scaffolding	uncovering cells ' hidden cells scaffolding	cells	0,0280267056	bert_jokes	0	1	0	0
99	74840	The Backstory Behind That 'Fearless Girl' Statue on Wall Street	AllTheNewsComponentsOne	the backstory behind that' fearless girl' statue on wall street	the backstory behind that ' fearless girl ' [MASK] on wall street	the backstory behind that ' fearless girl ' joke on wall street	joke	0,0022147885	bert_jokes	1	3	1	2
100	69313	Things are so bleak in the oil industry that an offshore-drilling company got a 90% discount on a $700 million rig	AllTheNewsComponentsOne	Things are so bleak in the oil industry that an Offshore-Drilling company got a 90% discount on a$ 700 million rig	Things are [MASK] bleak in the oil industry that an Offshore - Drilling company got a 90 % discount on a$ 700 million rig	Things are over bleak in the oil industry that an Offshore - Drilling company got a 90 % discount on a$ 700 million rig	over_ADV	0,9869834185	colloc	0	2	0	0
102	212833	Alicia Keys is done playing nice. Your phone is getting locked up at her shows now.	AllTheNewsComponentsOne	Alicia Keys is done playing nice. your phone is getting locked up at her shows now.	Alicia Keys is done [MASK] nice . your phone is getting locked up at her shows now .	Alicia Keys is done pulling nice . your phone is getting locked up at her shows now .	pull_VERB	0,9999969006	colloc	0	2	0	0
104	132546	The Jets just cut the savior the Giants need	AllTheNewsKaggle	The jets just cut the Savior the giants need	The jets just cut the Savior the giants [MASK]	The jets just cut the Savior the giants top	top_VERB	0,9502357244	colloc	0	1	0	0
108	75579	Do the Syria Strikes Mean North Korea Is Next?	AllTheNewsKaggle	Do the Syria strikes mean North Korea is next?	Do the Syria strikes [MASK] North Korea is next ?	Do the Syria strikes open North Korea is next ?	open_VERB	0,993373394	colloc	0	2	0	0
111	186055	Exclusive: Top cybercrime ring disrupted as authorities raid Moscow offices - sources	AllTheNewsKaggle	Exclusive: top Cybercrime ring disrupted as authorities raid Moscow offices- sources	Exclusive : [MASK] Cybercrime ring disrupted as authorities raid Moscow offices- sources	Exclusive : radioactive Cybercrime ring disrupted as authorities raid Moscow offices- sources	radioactive_ADJ	2.52138743235264e-05	colloc	1	3	1	1
114	58160	New Jersey train crash: A visual timeline 	AllTheNewsComponentsOne	New Jersey train crash: a visual Timeline	New Jersey [MASK] crash : a visual Timeline	New Jersey man crash : a visual Timeline	man_NOUN	9.339850294054486e-06	colloc	0	2	0	1
116	119818	Tutors: Girls May Be Made Too Upset by Microaggressions to Succeed on the SAT 	AllTheNewsKaggle	Tutors: girls may be made too upset by Microaggressions to succeed on the sat	Tutors : girls may be made too [MASK] by Microaggressions to succeed on the sat	Tutors : girls may be made too many by Microaggressions to succeed on the sat	many_ADJ	1.607974081707653e-05	colloc	0	2	0	0
117	51604	Neil Gorsuch questionnaire for Senate judiciary committee	AllTheNewsComponentsOne	Neil Gorsuch questionnaire for Senate Judiciary Committee	Neil Gorsuch [MASK] for Senate Judiciary Committee	Neil Gorsuch seat for Senate Judiciary Committee	seat_NOUN	1.373842496832367e-05	colloc	0	2	0	0
121	157195	Attempt to appeal against 'shockingly lenient' Pistorius sentence rejected	AllTheNewsComponentsOne	Attempt to appeal against' shockingly lenient' Pistorius sentence rejected	Attempt to [MASK] against ' shockingly lenient ' Pistorius sentence rejected	Attempt to cross against ' shockingly lenient ' Pistorius sentence rejected	cross_VERB	1.09290513137239e-05	colloc	0	1	0	2
122	79186	Britain, Post-Brexit	AllTheNewsComponentsOne	Britain, Post-Brexit	Britain , Post - [MASK]	Britain , Post - Higgs	Higgs_PROPN	0,0001601002	colloc	0	3	0	0
123	29557	WaPo: Steve Bannon’s Navy Service During Carter’s Iran Hostage Crisis Shaped His Politics	AllTheNewsComponentsOne	Wapo: Steve Bannon ’ s Navy service during Carter ’ s Iran hostage crisis shaped his politics	Wapo : Steve Bannon ’ s Navy [MASK] during Carter ’ s Iran hostage crisis shaped his politics	Wapo : Steve Bannon ’ s Navy seal during Carter ’ s Iran hostage crisis shaped his politics	seal_NOUN	1.177094054582994e-05	colloc	0	3	0	0
126	62985	Mike Huckabee stands by Josh Duggar, family	AllTheNewsComponentsOne	Mike Huckabee stands by Josh Duggar, family	Mike Huckabee [MASK] by Josh Duggar , family	Mike Huckabee plans by Josh Duggar , family	plan_VERB	1.052951211022446e-05	colloc	0	1	0	0
129	151943	Sloppy England earn point in Slovenia thanks to Joe Hart’s stunning saves	AllTheNewsComponentsOne	Sloppy England earn point in Slovenia thanks to Joe Hart ’ s stunning saves	Sloppy England earn point in [MASK] thanks to Joe Hart ’ s stunning saves	Sloppy England earn point in Dorsey thanks to Joe Hart ’ s stunning saves	Dorsey_PROPN	8.141772923409007e-06	colloc	0	3	0	0
131	184857	Exclusive: Microsoft to warn email users of suspected hacking by governments	AllTheNewsComponentsOne	Exclusive: Microsoft to warn Email users of suspected hacking by governments	Exclusive : [MASK] to warn Email users of suspected hacking by governments	Exclusive : Central to warn Email users of suspected hacking by governments	Central_PROPN	1.441269705537707e-05	colloc	0	2	0	0
134	69572	JPMorgan CEO Jamie Dimon says he learned one of the greatest leadership lessons from the former CEO of a $35 billion fast food company	AllTheNewsKaggle	Jpmorgan Ceo Jamie Dimon says he learned one of the greatest leadership lessons from the former Ceo of a$ 35 billion fast food company	Jpmorgan Ceo Jamie Dimon says he learned one of the greatest [MASK] lessons from the former Ceo of a$ 35 billion fast food company	Jpmorgan Ceo Jamie Dimon says he learned one of the greatest barrier lessons from the former Ceo of a$ 35 billion fast food company	barrier_NOUN	9.149468496616464e-06	colloc	0	2	0	3
135	142434	Cuomo starts cleaning up the mess he made on city construction	AllTheNewsKaggle	Cuomo starts cleaning up the mess he made on city construction	Cuomo starts cleaning up the mess he made on [MASK] construction	Cuomo starts cleaning up the mess he made on climate construction	climate_NOUN	1.319419243372977e-05	colloc	0	3	0	0
140	37384	Polls: NRA Approval 54%, Hillary Clinton Approval 41%	AllTheNewsKaggle	Polls: NRA approval 54%, Hillary Clinton approval 41%	Polls : [MASK] approval 54 % , Hillary Clinton approval 41 %	Polls : Johnny approval 54 % , Hillary Clinton approval 41 %	Johnny_PROPN	1.41284644996631e-05	colloc	0	3	0	0
143	214496	The harsh reality of being transgender in Uganda	AllTheNewsKaggle	The harsh reality of being Transgender in Uganda	The harsh reality of being [MASK] in Uganda	The harsh reality of being Hemingway in Uganda	Hemingway_PROPN	2.548190423112828e-05	colloc	1	3	1	1
144	62013	Best and worst foods to eat when sick	AllTheNewsComponentsOne	Best and worst foods to eat when sick	Best and worst [MASK] to eat when sick	Best and worst luck to eat when sick	luck_NOUN	2.766698344203178e-05	colloc	0	1	0	0
145	149252	Three days with The Dice Man: ‘I never wrote for money or fame'	AllTheNewsComponentsOne	Three days with the dice man: ‘ I never wrote for money or fame'	Three days with the dice man : ‘ I never [MASK] for money or fame '	Three days with the dice man : ‘ I never saw for money or fame '	see_VERB	1.550830165797379e-05	colloc	0	1	0	0
148	116569	Open-Borders Lobby in Denial about DACA and Due Process	AllTheNewsComponentsOne	Open-Borders lobby in denial about Daca and due process	Open - Borders [MASK] in denial about Daca and due process	Open - Borders medium in denial about Daca and due process	medium_NOUN	9.731595127959736e-06	colloc	0	3	0	0
149	97525	Reuters: Obama To Announce SCOTUS Nominee On Wednesday	AllTheNewsKaggle	Reuters: Obama to announce Scotus nominee on Wednesday	Reuters : Obama to [MASK] Scotus nominee on Wednesday	Reuters : Obama to visit Scotus nominee on Wednesday	visit_VERB	1.119409444072517e-05	colloc	0	3	0	1
150	199026	Why Zika is a huge Catch-22 for pregnant women	AllTheNewsComponentsOne	Why Zika is a huge catch- 22 for pregnant women	Why Zika is a [MASK] catch- 22 for pregnant women	Why Zika is a postcode catch- 22 for pregnant women	postcode_ADJ	4.227607132634148e-05	jokecolloc	0	2	0	0
151	71206	A 30-year-old whose business earns up to $23,000 a month explains how she manages to work only 3 days a week	AllTheNewsComponentsOne	A 30- year-old whose business earns up to$ 23,000 a month explains how she manages to work only 3 days a week	A 30- year-old whose business earns up to $ 23,000 a month explains how she manages to work only 3 days a [MASK]	A 30- year-old whose business earns up to $ 23,000 a month explains how she manages to work only 3 days a plan	plan_NOUN	0,0014612192	jokecolloc	0	0	0	2
155	67443	Meet the all-star team of lawyers Robert Mueller has assembled for the Trump-Russia investigation	AllTheNewsComponentsOne	Meet the All-Star team of lawyers Robert Mueller has assembled for the Trump-Russia investigation	Meet the All-Star team of [MASK] Robert Mueller has assembled for the Trump-Russia investigation	Meet the All-Star team of cracks Robert Mueller has assembled for the Trump-Russia investigation	crack_NOUN	2.051095725619234e-05	jokecolloc	2	3	2	2
156	68737	Buying vs. leasing a car: what to keep in mind	AllTheNewsComponentsOne	Buying vs. Leasing a car: what to keep in mind	Buying vs. Leasing a car : what to keep in [MASK]	Buying vs. Leasing a car : what to keep in glass	glass_NOUN	1.252857509825844e-05	jokecolloc	0	3	0	0
158	220161	Some of This Actually Happened	AllTheNewsComponentsOne	Some of this actually happened	Some of this actually [MASK]	Some of this actually worked	work_VERB	1.151542255684035e-05	jokecolloc	0	3	0	2
159	54918	Jeff Sessions had one hell of a bad week	AllTheNewsKaggle	Jeff sessions had one hell of a bad week	Jeff sessions had one [MASK] of a bad week	Jeff sessions had one like of a bad week	like_NOUN	1.480445826018695e-05	jokecolloc	0	2	0	0
161	209346	It’s official: 2015 ‘smashed’ 2014’s global temperature record. It wasn’t even close	AllTheNewsComponentsOne	It ’ s official: 2015 ‘ smashed ’ 2014 ’ s global temperature record. It wasn ’ t even close	It ’ s official : 2015 ‘ smashed ’ 2014 ’ s global [MASK] record . It wasn ’ t even close	It ’ s official : 2015 ‘ smashed ’ 2014 ’ s global gag record . It wasn ’ t even close	gag_NOUN	0,0001705736	jokecolloc	2	3	2	1
162	153608	The EpiPen boss tried to defend price hikes to Congress. No one bought it	AllTheNewsKaggle	The Epipen boss tried to defend price HIKES to Congress. No one bought it	The Epipen boss tried to [MASK] price HIKES to Congress . No one bought it	The Epipen boss tried to audition price HIKES to Congress . No one bought it	audition_VERB	0,0002728012	jokecolloc	0	0	0	2
164	143206	Rio has turned Hope Solo into public enemy No. 1	AllTheNewsComponentsOne	Rio has turned hope solo into public enemy no. 1	Rio has turned hope solo into public [MASK] no . 1	Rio has turned hope solo into public domain no . 1	domain_NOUN	7.79116635385435e-06	jokecolloc	0	2	0	1
165	53527	Sessions has no regrets for Hawaii remark	AllTheNewsKaggle	Sessions has no regrets for Hawaii remark	Sessions has no [MASK] for Hawaii remark	Sessions has no functions for Hawaii remark	function_NOUN	0,9970496893	jokecolloc	0	1	0	0
166	72257	How a hedge fund legend took time out, busked on the New York subway, and found himself in the process	AllTheNewsKaggle	How a hedge fund legend took time out, Busked on the New York subway, and found himself in the process	How a hedge [MASK] legend took time out , Busked on the New York subway , and found himself in the process	How a hedge knight legend took time out , Busked on the New York subway , and found himself in the process	knight_NOUN	2.435457463434432e-05	jokecolloc	1	3	1	1
168	145097	Wall Street just had its worst ever first week to start a year	AllTheNewsComponentsOne	Wall Street just had its worst ever first week to start a year	Wall Street just had its worst ever first week to [MASK] a year	Wall Street just had its worst ever first week to stick a year	stick_VERB	2.699176366149914e-05	jokecolloc	0	2	0	0
174	138912	No one helped woman as she burned alive in Rome, prosecutor says	AllTheNewsComponentsOne	No one helped woman as she burned alive in Rome, Prosecutor says	No one helped woman as she burned [MASK] in Rome , Prosecutor says	No one helped woman as she burned most in Rome , Prosecutor says	most_ADJ	8.76980720931897e-06	jokecolloc	0	3	0	0
179	208367	U.S. Navy destroyer collides with container ship near Japan, suffers damage	AllTheNewsKaggle	U. S. Navy destroyer collides with container ship near Japan, suffers damage	U. S. Navy destroyer collides with container [MASK] near Japan , suffers damage	U. S. Navy destroyer collides with container transportation near Japan , suffers damage	transportation_NOUN	7.13436429577996e-06	jokecolloc	0	1	0	0
182	139470	GoFundMe page helps aspiring nun pay off student loan debt	AllTheNewsComponentsOne	Gofundme page helps aspiring nun pay off student loan debt	Gofundme page helps aspiring nun pay off student loan [MASK]	Gofundme page helps aspiring nun pay off student loan provider	provider_NOUN	1.099860401154729e-05	jokecolloc	0	2	0	3
187	69597	Billionaire investor Warren Buffett is getting in the bidding war for Yahoo	AllTheNewsComponentsOne	Billionaire investor Warren Buffett is getting in the bidding war for Yahoo	Billionaire investor Warren Buffett is getting in the bidding [MASK] for Yahoo	Billionaire investor Warren Buffett is getting in the bidding date for Yahoo	date_NOUN	1.02969934232533e-05	jokecolloc	0	2	0	0
189	67583	People keep emailing Apple to say the Apple Watch saved their life	AllTheNewsComponentsOne	People keep Emailing apple to say the apple watch saved their life	People keep Emailing apple to say the apple [MASK] saved their life	People keep Emailing apple to say the apple term saved their life	term_NOUN	0,0028722454	jokecolloc	0	3	0	2
190	181222	Wall Street dips before French election, but up for week	AllTheNewsKaggle	Wall Street dips before French election, but up for week	Wall Street dips before French election , but up for [MASK]	Wall Street dips before French election , but up for grab	grab_NOUN	9.263226274924818e-06	jokecolloc	0	2	0	0
191	65915	Apollo astronaut: ’You go to heaven when you are born’	AllTheNewsKaggle	Apollo astronaut: ’ you go to heaven when you are born ’	Apollo astronaut : ’ you go to heaven when you are [MASK] ’	Apollo astronaut : ’ you go to heaven when you are disembodied ’	disembody_VERB	0,0003057084	jokecolloc	0	3	0	1
194	216134	How Trump could still win	AllTheNewsKaggle	How Trump could still win	How Trump could still [MASK]	How Trump could still refer	refer_VERB	1.16940727821202e-05	jokecolloc	0	2	0	0
197	83044	Marshawn Lynch is reportedly planning to retire	AllTheNewsKaggle	Marshawn Lynch is reportedly planning to retire	Marshawn Lynch is reportedly planning to [MASK]	Marshawn Lynch is reportedly planning to lay	lay_VERB	9.489571311860345e-06	jokecolloc	1	3	1	1
198	83769	Bible charity vows to continue translation work after murders of four employees	AllTheNewsKaggle	Bible charity vows to continue translation work after murders of four employees	Bible charity vows to [MASK] translation work after murders of four employees	Bible charity vows to protect translation work after murders of four employees	protect_VERB	9.67459345702082e-06	jokecolloc	0	3	0	2
