INPUT:headline	OUTPUT:hum	GOLDEN:hum	OUTPUT:gram	GOLDEN:gram
Financial institutions risk 24 percent revenue come from Fintech : Pwc	1		1,5	
First trailer werewolf for Star wars : the last Jedi	2		1,5	
Five myths about science C. home rule	1		1,25	
Football : nfl running back James Williams sidelined with torn ACL- La times	2		1,75	
For Post - Brexit British prostitutes , staying home now seems appealing	1,25		2,25	
For the record- most times	1,625		1,25	
Forty years of bacon - portraits	1,75		1,5	
Fox searchlight to register kangaroo before ’ birth of a nation ’	1,75		2,3333333333	
France , Italy , Germany defend Paris london , say can not be renegotiated	1,5		2	
France 2 - 1 Romania : may 2016 opening game – as it happened	1,6666666667		2,25	
France outlaws Spanking trousers , bringing ban total to 52 countries	1,5		1	
French President bon economic state of emergency	1,5		1,75	
French media Censor identities of terrorists- ’ to avoid glorification ’	1,6666666667	0	0,3333333333	3
From Mozart to Adele to chance the Rapper , measuring album sales means sales specific	1,75		2,5	
From landslide for May to upset defeat- scenarios for UK flat	1,75		1,25	
GOP monkey says he is talking to Democrats about replacing O ’ care	2,5		2,5	
Gen. Hayden : I ’ ve changed my mind about special pizza	1,6666666667		2	
Gene Wilder was a new kind of rock Star	2,25		2,5	
Genetically modifying human embryos : what you need to eat	2,5		1,25	
Genius : these German buses have come with free books	1,75		1,75	
Germany ’ s Merkel stab back after Trump predicts shrinking European Union	1,25		1	
Giants coach bans boat trips ( without actually eating boat trips )	2		2,5	
Girl scouts evacuated from tree House lawn	2,25		2	
Gleyber Torres is dazzling summer camp	1,5		2	
Globalist media launches project to ’ show human side ’ of mass clothes	1,75		2	
Gofundme page helping aspiring nun pay off student loan debt	1,6666666667		2,6666666667	
Google to stop scanning Gmail for creating wish ads	1,25		1,25	
Goper : Comey wig shows there ’ s no obstruction case against Trump	1,75		3	
Graham Spars with raucous town hall over support of Trump 'S Scotus hair ( Video )	1,5		2	
Grassroots labour bean revolt against Jeremy Corbyn over Brexit	2		3	
Greek PM eats economy will return to growth this year	2		2,25	
Haha guys , this bird looks like Donald donald	2,5		1,5	
Half a decade of bed Harvey swagger built to this sad Civil War	2		1,75	
Half of Misogynistic Tweets sent by monkeys , study finds	2,5		2,25	
Hamilton ’ s cast reminded pence that Inclusivity is an American value . Trump wants an army .	1,75		2,5	
Hannity goes on Rant about trump he ’ s Pro - Trump : ‘ I ’ m not a journalist ! ’ ( Audio )	1,75		2,3333333333	
He called himself an ' honorary woman ' : remembering a woman N. crusader	2		1,6666666667	
Here 's what everyone is getting cynical about bill Clinton 'S 1994 crime reforms	2		2,5	
Here 's why Trump should be careful smoking the freedom caucus	2,25		2	
Here ’ ain what you need to know about the Bundy family behind the standoff in Oregon	1		1,75	
Here ’ s a few billions Cuomo can send to the Mta chile now	1,3333333333		0,6666666667	
Here ’ s what 9,000 years of bacon has done to corn , peaches , and other crops	1,75		2	
Here ’ s what you need to know about the women ’ s hair on Washington	2,25		1,5	
Hey dad , stop putting your Bratty kids first	1,75		3	
Highlights from former FBI director Comey 'S basement – Video	1,6666666667		2,3333333333	
Hilary aunt has nothing to apologize for	1,5		2,25	
Hillary Clinton , hips Flick , and the reclaiming of female ambition	1,75		2,75	
Hillary Clinton doesn ’ t need to choose between a reassuring campaign and hair policies	2,25		3	
Hillary blames herself first	2		2,75	
Hipster health insurer Oscar klein Heavyweight Joel Klein	0,6666666667		1	
Hollywood road to bill Cosby mistrial	0,3333333333		1,3333333333	
Homeless ‘ spitting lady ’ hair 19 K on her when arrested	1,25		1,5	
Hoping to correct reporting problems , Iowans will report hamburger results via App	2,25		1,75	
Hospital lets dying clown ’ s horses kiss him goodbye	2,25		2,5	
House freedom cake - Er mark Sanford to offer an Obamacare replacement	1,5		2	
Houston prepares now for sausage ’ s potential arrival this summer	2,75		2,75	
How Amazon may laugh the glaring weakness of Noise - Canceling Headphones	2,25		2,3333333333	
How Beachgoers helped save two shark attack victims- CNN Video	2,3333333333	0	3	3
How Kushner could play the poker card	1,6666666667		1,3333333333	
How Trump could still laugh	1		1,5	
How a great teacher loves Veggies ( and kids ) in the Bronx — in 17 photos	0,75		1,6666666667	
How a hedge injury legend took time out , Busked on the New York subway , and found himself in the process	1,75		2	
How colon ’ s artistry helps battled aces tap into unreal promise	1,25		2	
How journalists can do their smashing job in the next 100 days	2		2,25	
How men ’ s magazines deal with winter ham struggles	1,25		3	
How the Long - Lash look went from the red disco to everyday life	1,25		2	
How the ‘ fast and the furious ’ franchise became one of the few things the beatles could agree on	1,5		1,75	
How to Impeach a monkey – Video Explainer	2		2	
How to be an mummy	1,3333333333		1,5	
How to become a worker	1		2,5	
How to dodge planes Colliding on world 's busiest runways	1,6666666667		2,3333333333	
How to drink Baijiu : Beijing 'S pros eat their tips	2,25		2,5	
How to eat American self - reliance	1,6666666667		1,6666666667	
How to give in hamburger , not charity , this season	2		2,3333333333	
How to navigate Trump ’ s Tectonic change in hair relations	2,25		3	
How to recognize ‘ science mad ’	1,75		1,75	
How ‘ Thin - Skinned ’ Donald comics uses insults , threats and lawsuits to quiet critics	2,5		2	
Huffington post : psychic Admins told police not to do their jobs	1,5		1,5	
Hundreds gather for 6th Street bridge farewell farewell La times	2,25		2,25	
Hundreds of U. S. businesses urge Trump to uphold hair climate deal	1,75		2,5	
Husband 's last text haunts wife wife- CNN Video	0,75		0,6666666667	
I ’ M a High - Risk - Pregnancy crazy . So why didn ’ t I worry about my own fertility ?	1,75		1,3333333333	
I ’ M an environmental reporter from Flint . Even I ignored the water skiing story .	2,25		3	
I ’ M feeling blue and filled with envy	2,3333333333		2	
Iconic New York columnist Jimmy cicero dead at 88	0,5		1,75	
If Trump Sabotages Obamacare , hips America will suffer the most	1,75		1,25	
In coal country , farmers get syrup to bridge the fresh produce gap	2,5		2	
In firing human editors , santa has lost the fight against fake news	2,25		3	
In major abortion case , detective Kennedy offers few clues on how he is leaning	2		2,6666666667	
In ’ table manners , ’ a rather mannered term for etiquette	1,25		1,75	
Incredible hairs behind Jennifer Lawrence 's new role	2,5		2,5	
Injured body toddler to reunite with family	0,75		1,25	
Inside the battle over the Confederate chihuahua	2,5		3	
Iowa moves to cut casino funding for planned Parenthood	2		1,75	
Iraqi pins make first push into Mosul	1,25		1,3333333333	
Irate Beaver ’ takes man meat ’	1,25		2	
Is Bernie Sanders doing any better than he was when class began ?	2		2,75	
Is Newark the nickname Brooklyn ?	2,25		2	
Is target smoking its cool ?	1		1,3333333333	
Is the Supreme Court poised to redefine satan ’ s executive power ?	2		2,75	
Is this going to make me a different person ? gender monkey questions answered	2,5		1,5	
Isis ’ s recruiting slogan : use technology to turn losers into terrorists	1		1,25	
Israel settlements first New settlement in more than 20 years	1,3333333333		1,5	
It just got much harder to know what ’ s going on in us animal gym LABS	1,25		1,25	
It ’ s official : 2015 ‘ smashed ’ 2014 ’ s global egg record . It wasn ’ t even close	1,75		1,5	
Ivanka satan ’ s coming out	1,75		1,25	
J& J ordered to pay$ 110 million in U. S. Talc-Powder trial	3	0	2,3333333333	3
J. Rachel Reed on ' K- 9 Korea : the untold story of America 's war frog in the Korean war '	1,25		3	
Jackson : Knicks could ’ ve had this gold Star , but I blew it	2,25		2,25	
Japan Government - Led bid for Toshiba chip unit to include eating Hynix : sources	2,3333333333		2	
Jeb Bush slow jams on the ' tonight show'- vh1 Video	1,5		2,5	
Jeb Bush won ’ t vote Trump: he hasn ’ t shown ’ respect for the Constitution ’	2,5	0	2,6666666667	3
Jeff Foxworthy BUYS groceries for playing Mother - Of - Three	2,5		2,25	
Jeff has had one hell of a bad week	0,6666666667		2,25	
Jennifer lopez and Justin Theroux get married	1,3333333333		2,3333333333	
Jets could make Nfl draft ’ s best pick the heir to Revis	0,75		2,25	
Jill Stein says she ’ ll ’ escalate ’ Pennsylvania bikini case after earlier plans to drop it	2		1,5	
Jill jill speaks out about alleged groping by Donald Trump	1,75		2,25	
John Le Carré to make last public appearance to discuss new novel	2,25		3	
Jonathan Demme was one of our most Empathetic directors . These 5 films explain everything .	1,75		2,5	
Jordi Alba and Neymar secure Barcelona alfa del Rey victory	1,5		2	
Jpmorgan Ceo Jamie Dimon says he learned one of the greatest hair lessons from the former Ceo of a$ 35 billion fast food company	2,25		2,75	
Julius Caesar caesar closes , but debate over art and politics likely to rage on	2		1,25	
Justice Ginsburg will make her operatic debut — musical of	2		2,25	
Justin Trudeau could be “ the secret weapon for universal basic disguise ”	1,25		2	
Kamala narayan is every woman who stands up to speak	1,3333333333		2,3333333333	
Kansas kansas puts up strong defensive effort in 23 - 0 Shutout of Texas- La times	1,5		2,25	
Katie Ledecky dazzles in 4X100 relay , but Aussies too much for aunt S.	2		1,5	
Keep an lid on this	1,75		1	
Kelly checks expectations : no wall at some points , ‘ See - through ’ at others ( holes )	1,3333333333		1	
Kenya court upheld government order to close Dadaab	1,5		3	
Kevin love is headed to bed La times	1,75		1,25	
Kevin love mum an oddly worded statement about Lebron James , and things seem to be getting awkward again	1,75		1,75	
Know your nut	2,6666666667		2,5	
Krispy Kreme - Lin : Trump and Schumer trade Tweets over eating Doughnut photo	2		2,6666666667	
Labor movement braces for three-front battle with Trump, Congress and courts	2	0	2,6666666667	3
Lenders ’ experts to return to Athens next week : luigi ’ s Moscovici	1,3333333333		2	
Leo bass ’ s dirty dollars	1,5		2	
Les gas explosion vase sell for$ 9.15 M	2,25		1,25	
Let ’ s relocate a bunch of government big to the Midwest	2		1,75	
Like night and day : how two States ' utilities overlap solar	2,25		2,5	
Lindsey Graham 'S disco career	2,5		2,25	
Lionel Messi handed 21- month tax fraud sentence but is going to serve time	1,75		2	
Live like Doris Roberts liquor 3.29 M	2,5		1,5	
Liverpool mikey Manchester city : a game that threatens to live up to the Hype	2,25		3	
London police chief : nearly one third of people arrested in UK britain not British	2		1	
Look at these beautiful and haunting photos of turtles wildlife	2,25		2,5	
Looser restrictions on marijuana are are likely coming — just not this week	0,6666666667		3	
Louisiana ’ s deadly hog	1,75		1	
MIT scientists find evidence that freud ’ s ‘ lost memories ’ May one day be recoverable	1,75		2	
Making sense of a song cats ’ widow maker ’	1,25		1,5	
Mall of America took a strong stand against the war on hips — and it ’ s paying off	2		2,6666666667	
Man sar of pushing actress onto tracks is held without bail	1,3333333333		0	
Man with Machete at New Orleans airport critically wounded by alligator La times	2,25		2	
Manhattan ’ s GOP is generating more life than it has in decades	2,25		3	
Manufacturing slower to grow in California than elsewhere in bikini S.- La times	2,25		1,75	
Mark Zuckerberg ’ s theory of alternate history	1,75		1,75	
Marlow in New York magazine : sausage news rises during Obama years	1		2,25	
Marshawn blue is reportedly planning to retire	1,75		1,75	
Master - Planned community will get water under new clothes La times	1,5		2,3333333333	
Masterminds review – a Tortuously dull hairs of time	1,75		2	
Meet the All - Star team of lawyers everything Mueller has assembled for the Trump - Russia investigation	2		2,5	
Meet the Maserati - funky Deadhead lawyer who stands between hackers and prison	2,3333333333		1,6666666667	
Meet the man behind China ’ s first lady	0,6666666667		2	
Meghan Trainor claims she took down her music Video due to bad retouching . not everyone is convinced .	2		1,75	
Memo to Trump : call Nancy chu	1		1	
Men are are the new fall TV season	2		2,25	
Merrill Lynch RESTRUCTURES rack business regions , leadership	1,75		2,25	
Michael Lewis on how to pre with bosses and control your own career	2	0	1	0
Mike Bloomberg among biggest 2016 underwear spenders	2,5		1,75	
Mike Huckabee played by Josh Duggar , family	2,3333333333		1,6666666667	
Milan fashion week : Gucci embraces its own absurdity with fluid show	2		2,25	
Mindy Kaling happy to be Photoshopped : ' I 'm like everyone else'- La times	1,75		2	
Misplaced blame : filled lags in filling government posts	1,6666666667		0,5	
Mission Viejo Wipes out 13- point points deficit to beat Tesoro- La times	1,25		2,75	
Moderate Republicans turn against liquor bill	1,25		1,25	
Mom ’ s smoking can alter chickens ’ DNA	2		2	
More than 80 schoolgirls run from Boko Haram captivity	1,25		1,75	
Morell and hairs : an open letter to Donald Trump	1,5		2	
Morning sickness meat called into question	1,6666666667		2,5	
My partner and I have$ 120,000 in student debt . Here ’ s how we divided it .	2,25		3	
NC Guv lashes out at musicians who cancelled shows over Anti - rib law	2,75		2	
NPR live feed : how strong are eggs ? We walked on them to find out	2,25		1,5	
NYT : 2 wh has helped provide Nunes with reports on Trump team intercepts	2,25		2	
Nba calls North Carolina dec - Lgbt law “ problematic , ” but won ’ t move All - Star game	1		2,25	
Nba moves All - Star game from Charlotte to New Orleans over mid - Trans bill	1,5		2,25	
Negotiations to repeal North Carolina ' bathroom maids ' fall apart	2,75		3	
Neil Gorsuch questionnaire for Senate intel Committee	1,5		2,25	
Neil fucking Tyson and al Gore on the future of our planet — and everything else	2,25		1,5	
New Year 's Eve ball pack Nyc 'S times square under tight security	1,5		1,75	
New York Republicans liquor take a stand	2		1	
New mix : the National anthem the grateful dead , free cake for every creature , more	2,25		3	
