	id	title_orig_case	source	headline	masked	predicted	new span	predicted_score	method	Humorousness	Grammaticality	Humorousness_b	Grammaticality_b
37	118848	A Presidential-Election Runoff Would Be Legal for States to Adopt	AllTheNewsComponentsOne	A Presidential-Election runoff would be legal for States to adopt	A Presidential - Election [MASK] would be legal for States to adopt	A Presidential - Election joke would be legal for States to adopt	joke	0,0936888605	bert_humedit	3	2	1	2
40	131545	This social network is a particularly miserable place	AllTheNewsComponentsOne	This social network is a particularly miserable place	This social [MASK] is a particularly miserable place	This social class is a particularly miserable place	class	0,0007743986	bert_humedit	1	2	2	2
49	55640	Dear Facebook, more news please?	AllTheNewsKaggle	Dear Facebook, more news please?	Dear [MASK] , more news please ?	Dear goddess , more news please ?	goddess	0,5563730001	bert_humedit	0	3	1	3
51	143206	Rio has turned Hope Solo into public enemy No. 1	AllTheNewsComponentsOne	rio has turned hope solo into public enemy no. 1	rio has turned hope solo into public enemy [MASK] . 1	rio has turned hope solo into public enemy fallout . 1	fallout	0,9971246123	bert_jokes	0	1	1	1
59	206931	A politician used the n-word in front of black colleagues. He just resigned.	AllTheNewsKaggle	a politician used the n-word in front of black colleagues. he just resigned.	a politician used the n - word in front of black colleagues . he just [MASK] .	a politician used the n - word in front of black colleagues . he just ducked .	ducked	0,9999445677	bert_jokes	0	3	3	3
87	34429	Dow Jones Has Best Week Since 2011 Due to Trump Election Win	AllTheNewsComponentsOne	dow jones has best week since 2011 due to trump election win	dow jones has best [MASK] since 2011 due to trump election win	dow jones has best joke since 2011 due to trump election win	joke	0,5675542951	bert_jokes	0	2	2	2
128	186202	EU's Tusk says Russian bombings make situation in Syria even worse	AllTheNewsComponentsOne	Eu'S Tusk says Russian bombings make situation in Syria even worse	Eu 'S Tusk says Russian [MASK] make situation in Syria even worse	Eu 'S Tusk says Russian economies make situation in Syria even worse	economy_NOUN	1.241108111571521e-05	colloc	0	2	1	2
133	114720	Obama’s Late Hit on Israel	AllTheNewsKaggle	Obama ’ s late hit on Israel	Obama ’ s late [MASK] on Israel	Obama ’ s late wife on Israel	wife_NOUN	1.056838482327294e-05	colloc	1	0	0	0
136	34429	Dow Jones Has Best Week Since 2011 Due to Trump Election Win	AllTheNewsComponentsOne	Dow Jones has best week since 2011 due to Trump election win	Dow Jones has best [MASK] since 2011 due to Trump election win	Dow Jones has best reason since 2011 due to Trump election win	reason_NOUN	9.057710485649295e-06	colloc	0	2	1	2
137	187456	Exclusive: SWIFT to advise banks on security as Bangladesh hack details emerge	AllTheNewsKaggle	Exclusive: swift to advise banks on security as Bangladesh Hack details emerge	Exclusive : [MASK] to advise banks on security as Bangladesh Hack details emerge	Exclusive : foreign to advise banks on security as Bangladesh Hack details emerge	foreign_ADJ	2.358824531256687e-05	colloc	0	1	1	1
141	58299	Paisley Park tours to get limited run 	AllTheNewsKaggle	Paisley park tours to get limited run	Paisley park tours to get [MASK] run	Paisley park tours to get drunk run	drunk_ADJ	1.594043533259537e-05	colloc	2	2	1	2
142	142696	Mike Bloomberg among biggest 2016 election spenders	AllTheNewsKaggle	Mike Bloomberg among biggest 2016 election spenders	Mike Bloomberg among biggest 2016 [MASK] spenders	Mike Bloomberg among biggest 2016 problem spenders	problem_NOUN	8.022254405659623e-06	colloc	1	2	2	2
170	112743	 Trump Will Have Access To Personal Info Of “Dreamers” For Deportation Efforts	AllTheNewsComponentsOne	Trump will have access to personal Info of “ Dreamers ” for deportation efforts	Trump will have [MASK] to personal Info of “ Dreamers ” for deportation efforts	Trump will have surgery to personal Info of “ Dreamers ” for deportation efforts	surgery_NOUN	1.280303331441246e-05	jokecolloc	0	1	1	1
176	203248	Hamilton’s cast reminded Pence that inclusivity is an American value. Trump wants an apology.	AllTheNewsKaggle	Hamilton ’ s cast reminded pence that Inclusivity is an American value. Trump wants an apology.	Hamilton ’ s cast reminded pence that Inclusivity is an American value . Trump wants an [MASK] .	Hamilton ’ s cast reminded pence that Inclusivity is an American value . Trump wants an ex .	ex_NOUN	8.96739584277384e-05	jokecolloc	1	3	3	3
180	181461	Consumer confidence slips; new home sales hit eight-month high	AllTheNewsComponentsOne	Consumer confidence slips; new home sales hit Eight-Month high	Consumer confidence slips ; new home [MASK] hit Eight-Month high	Consumer confidence slips ; new home reports hit Eight-Month high	report_NOUN	8.897594852896873e-06	jokecolloc	0	2	1	2
