	Unnamed: 0	id	title_orig_case	source	headline	masked	predicted	new span	predicted_score	method	Humorousness	Appropriateness	Grammaticality
11	11	125023	There’s something fishy about this Tribeca townhouse	AllTheNewsComponentsOne	There ’ s something Fishy about this Tribeca Townhouse	There ’ s something [MASK] about this Tribeca Townhouse	There ’ s something magical about this Tribeca Townhouse	magical	0.0001300769508816302	bert_humedit	0	2	3
12	12	146258	Krispy Kreme-lin: Trump and Schumer trade tweets over Putin doughnut photo	AllTheNewsComponentsOne	Krispy Kreme-Lin: Trump and Schumer trade Tweets over Putin Doughnut photo	Krispy Kreme - Lin : Trump and Schumer trade Tweets over [MASK] Doughnut photo	Krispy Kreme - Lin : Trump and Schumer trade Tweets over eating Doughnut photo	eating	0.0003115961153525859	bert_humedit	0	2	3
13	13	144953	Amateur bartender Rachel Maddow serves up the perfect primary day cocktails	AllTheNewsComponentsOne	Amateur bartender Rachel Maddow serves up the perfect primary day Cocktails	Amateur bartender [MASK] Maddow serves up the perfect primary day Cocktails	Amateur bartender bob Maddow serves up the perfect primary day Cocktails	bob	0.0002660047321114689	bert_humedit	0	2	3
14	14	52939	Memo to Trump: Call Nancy Pelosi	AllTheNewsComponentsOne	Memo to Trump: call Nancy Pelosi	Memo to Trump : call Nancy [MASK]	Memo to Trump : call Nancy chu	chu	0.0001821432815631852	bert_humedit	0	2	3
15	15	186947	China says defense spending pace to slow, to improve intelligence	AllTheNewsComponentsOne	China says defense spending pace to slow, to improve intelligence	China says [MASK] spending pace to slow , to improve intelligence	China says cake spending pace to slow , to improve intelligence	cake	0.0002037764061242342	bert_humedit	2	2	3
16	16	199534	Why Obama changed his mind — and won’t allow oil drilling in the Atlantic after all	AllTheNewsKaggle	Why Obama changed his mind — and won ’ t allow oil drilling in the Atlantic after all	Why Obama changed his mind — and won ’ t allow oil [MASK] in the Atlantic after all	Why Obama changed his mind — and won ’ t allow oil liquor in the Atlantic after all	liquor	0.0005977816181257367	bert_humedit	1	1	3
17	17	139192	Bill Cosby and Muhammad Ali both coveted the same Coppola script	AllTheNewsComponentsOne	Bill Cosby and Muhammad Ali both coveted the same Coppola script	Bill Cosby and Muhammad Ali both [MASK] the same Coppola script	Bill Cosby and Muhammad Ali both owned the same Coppola script	owned	0.06688183546066284	bert_humedit	0	3	3
18	18	142955	Toddler born with no arms teaches herself how to eat	AllTheNewsKaggle	Toddler born with no arms teaches herself how to eat	Toddler born with no arms [MASK] herself how to eat	Toddler born with no arms teaching herself how to eat	teaching	0.05474869906902313	bert_humedit	0	3	3
19	19	119228	Will the Trump Nomination Change Our Polarized Partisan Patterns?	AllTheNewsKaggle	Will the Trump nomination change our polarized partisan patterns?	Will the Trump nomination change our polarized [MASK] patterns ?	Will the Trump nomination change our polarized sleeping patterns ?	sleeping	0.0001060612994479015	bert_humedit	1	3	3
20	20	3098	Iconic New York Columnist Jimmy Breslin Dead At 88	Harvard	Iconic New York columnist Jimmy Breslin dead at 88	Iconic New York columnist Jimmy [MASK] dead at 88	Iconic New York columnist Jimmy cicero dead at 88	cicero	0.0005209143855609	bert_humedit	0	3	3
21	21	80583	The Atlantic Daily: A Shift in Perspective	AllTheNewsComponentsOne	The Atlantic daily: a shift in perspective	The Atlantic [MASK] : a shift in perspective	The Atlantic navigator : a shift in perspective	navigator	0.0004546820418909192	bert_humedit	0	3	3
22	22	51199	How to drink baijiu: Beijing's pros share their tips	AllTheNewsComponentsOne	How to drink Baijiu: Beijing'S pros share their tips	How to drink Baijiu : Beijing 'S pros [MASK] their tips	How to drink Baijiu : Beijing 'S pros eat their tips	eat	0.0008451869362033904	bert_humedit	0	2	3
23	23	63304	Lindsey Graham's political career	AllTheNewsComponentsOne	Lindsey Graham'S political career	Lindsey Graham 'S [MASK] career	Lindsey Graham 'S disco career	disco	0.009625539183616638	bert_humedit	2	2	3
24	24	140854	Widow accepts heroism medal for ex-cop who drowned saving young boy	AllTheNewsKaggle	Widow ACCEPTS heroism medal for Ex-Cop who drowned saving young boy	Widow ACCEPTS heroism medal for [MASK] - Cop who drowned saving young boy	Widow ACCEPTS heroism medal for beat - Cop who drowned saving young boy	beat	0.01000104658305645	bert_humedit	0	1	2
25	25	43492	Huffington Post: DePaul Admins Told Police Not To Do Their Jobs	AllTheNewsComponentsOne	Huffington post: DePaul Admins told police not to do their jobs	Huffington post : [MASK] Admins told police not to do their jobs	Huffington post : psychic Admins told police not to do their jobs	psychic	0.0006512397085316479	bert_humedit	2	2	3
26	26	119817	UK Leaders Must Let the Brexit Vote Stand	AllTheNewsKaggle	UK leaders must let the Brexit vote stand	UK leaders must let the Brexit [MASK] stand	UK leaders must let the Brexit sandwich stand	sandwich	8.774472371442243e-05	bert_humedit	2	3	3
27	27	209326	Bernie Sanders gains on Hillary Clinton in a new poll – but it’s not all good news for him	AllTheNewsComponentsOne	Bernie Sanders gains on Hillary Clinton in a new poll – but it ’ s not all good news for him	Bernie Sanders [MASK] on Hillary Clinton in a new poll – but it ’ s not all good news for him	Bernie Sanders vomit on Hillary Clinton in a new poll – but it ’ s not all good news for him	vomit	0.0001582403929205611	bert_humedit	1	1	3
28	28	60022	How to give in solidarity, not charity, this season	AllTheNewsKaggle	How to give in solidarity, not charity, this season	How to give in [MASK] , not charity , this season	How to give in hamburger , not charity , this season	hamburger	0.0006761849508620799	bert_humedit	3	2	3
29	29	181461	Consumer confidence slips; new home sales hit eight-month high	AllTheNewsComponentsOne	Consumer confidence slips; new home sales hit Eight-Month high	Consumer [MASK] slips ; new home sales hit Eight - Month high	Consumer dent slips ; new home sales hit Eight - Month high	dent	0.0006081854808144271	bert_humedit	0	1	2
30	30	97525	Reuters: Obama To Announce SCOTUS Nominee On Wednesday	AllTheNewsKaggle	Reuters: Obama to announce Scotus nominee on Wednesday	Reuters : [MASK] to announce Scotus nominee on Wednesday	Reuters : going to announce Scotus nominee on Wednesday	going	0.1597446203231812	bert_humedit	0	3	2
31	31	157918	In firing human editors, Facebook has lost the fight against fake news	AllTheNewsComponentsOne	In firing human editors, Facebook has lost the fight against fake news	In firing human editors , [MASK] has lost the fight against fake news	In firing human editors , santa has lost the fight against fake news	santa	0.0004238433321006596	bert_humedit	2	1	3
32	32	184835	New Year's Eve revelers pack NYC's Times Square under tight security	AllTheNewsComponentsOne	New Year's Eve Revelers pack Nyc'S times square under tight security	New Year 's Eve [MASK] pack Nyc 'S times square under tight security	New Year 's Eve ball pack Nyc 'S times square under tight security	ball	0.0002337363548576832	bert_humedit	0	1	3
33	33	151542	Who will scoop Emmy awards on Sunday? Our critics go head to head	AllTheNewsComponentsOne	Who will scoop Emmy awards on Sunday? our critics go head to head	Who will scoop Emmy awards on Sunday ? our critics [MASK] head to head	Who will scoop Emmy awards on Sunday ? our critics eating head to head	eating	0.8590489029884338	bert_humedit	1	1	3
34	34	128998	What Mario Cuomo taught me about declaring war	AllTheNewsKaggle	What Mario Cuomo taught me about declaring war	What Mario [MASK] taught me about declaring war	What Mario has taught me about declaring war	has	0.01702173240482807	bert_humedit	2	1	3
35	35	59317	Syrian uprising: The end appears near	AllTheNewsComponentsOne	Syrian uprising: the end appears near	Syrian uprising : the end [MASK] near	Syrian uprising : the end razor near	razor	0.3125077188014984	bert_humedit	0	0	0
36	36	171638	Embattled Pennsylvania Attorney General Resigns After Perjury Conviction	AllTheNewsKaggle	Embattled Pennsylvania Attorney General resigns after perjury conviction	Embattled Pennsylvania Attorney General [MASK] after perjury conviction	Embattled Pennsylvania Attorney General sacked after perjury conviction	sacked	0.0002801356313284487	bert_humedit	0	2	3
37	37	118848	A Presidential-Election Runoff Would Be Legal for States to Adopt	AllTheNewsComponentsOne	A Presidential-Election runoff would be legal for States to adopt	A Presidential - Election [MASK] would be legal for States to adopt	A Presidential - Election joke would be legal for States to adopt	joke	0.09368886053562164	bert_humedit	3	2	2
38	38	54156	Gen. Hayden: I’ve changed my mind about special prosecutors 	AllTheNewsKaggle	Gen. Hayden: I ’ ve changed my mind about special prosecutors	Gen. Hayden : I ’ ve changed my mind about special [MASK]	Gen. Hayden : I ’ ve changed my mind about special pizza	pizza	0.0003871783555950969	bert_humedit	0	1	3
39	39	210456	Sorry, Marco Rubio, it’s time to fold	AllTheNewsComponentsOne	Sorry, Marco Rubio, it ’ s time to fold	Sorry , Marco [MASK] , it ’ s time to fold	Sorry , Marco polo , it ’ s time to fold	polo	0.000232772683375515	bert_humedit	0	2	3
40	40	131545	This social network is a particularly miserable place	AllTheNewsComponentsOne	This social network is a particularly miserable place	This social [MASK] is a particularly miserable place	This social class is a particularly miserable place	class	0.0007743985624983907	bert_humedit	1	1	2
41	41	94949	French President Declares Economic State Of Emergency	AllTheNewsKaggle	French President declares economic state of emergency	French President [MASK] economic state of emergency	French President bon economic state of emergency	bon	0.0004591460747178644	bert_humedit	1	1	1
42	42	199819	After a big loss in North Carolina, LGBTQ leaders explain what's next	AllTheNewsComponentsOne	After a big loss in North Carolina, Lgbtq leaders explain What's next	After a big loss in North Carolina , [MASK] leaders explain What 's next	After a big loss in North Carolina , gym leaders explain What 's next	gym	0.0001788418303476647	bert_humedit	2	2	3
43	43	153608	The EpiPen boss tried to defend price hikes to Congress. No one bought it	AllTheNewsKaggle	The Epipen boss tried to defend price HIKES to Congress. No one bought it	The Epipen [MASK] tried to defend price HIKES to Congress . No one bought it	The Epipen salesman tried to defend price HIKES to Congress . No one bought it	salesman	0.004242659080773592	bert_humedit	0	1	3
44	44	27466	ABC Faces Boycotts, Backlash after ’Last Man Standing’ Cancelled	AllTheNewsKaggle	ABC faces boycotts, backlash after ’ last man standing ’ cancelled	ABC [MASK] boycotts , backlash after ’ last man standing ’ cancelled	ABC air boycotts , backlash after ’ last man standing ’ cancelled	air	0.0006621162756346166	bert_humedit	0	2	3
45	45	104095	 UN Accused Of Allowing Assad Regime To Censor Syria Aid Plan	AllTheNewsComponentsOne	UN accused of allowing Assad regime to Censor Syria aid plan	UN accused of allowing Assad regime to Censor Syria [MASK] plan	UN accused of allowing Assad regime to Censor Syria hamburger plan	hamburger	0.04377687722444534	bert_humedit	1	1	3
46	46	49652	Sources: Georgia Lt. Gov. Will Try to Torpedo Campus Carry	AllTheNewsKaggle	Sources: Georgia lt. Gov. will try to torpedo campus carry	Sources : [MASK] lt . Gov. will try to torpedo campus carry	Sources : ducks lt . Gov. will try to torpedo campus carry	ducks	0.2851486802101135	bert_humedit	0	1	2
47	47	100507	 Spy Agencies Around The World Are Digging Into Trump’s Moscow Ties	AllTheNewsComponentsOne	Spy agencies around the world are digging into Trump ’ s Moscow ties	Spy agencies around the world are digging into [MASK] ’ s Moscow ties	Spy agencies around the world are digging into satan ’ s Moscow ties	satan	0.0002847225405275822	bert_humedit	3	1	3
48	48	31601	Steve Bannon, Kushner, Priebus Unite to Fight Deep State Sabotage	AllTheNewsComponentsOne	Steve Bannon, Kushner, Priebus unite to fight deep state sabotage	Steve Bannon , Kushner , Priebus unite to fight [MASK] state sabotage	Steve Bannon , Kushner , Priebus unite to fight hips state sabotage	hips	0.0002345623797737062	bert_humedit	2	1	3
49	49	55640	Dear Facebook, more news please?	AllTheNewsKaggle	Dear Facebook, more news please?	Dear [MASK] , more news please ?	Dear goddess , more news please ?	goddess	0.5563730001449585	bert_humedit	0	1	3
50	50	198306	Jonathan Demme was one of our most empathetic directors. These 5 films explain why.	AllTheNewsComponentsOne	jonathan demme was one of our most empathetic directors. these 5 films explain why.	jonathan demme was one of our most empathetic directors . these 5 films explain [MASK] .	jonathan demme was one of our most empathetic directors . these 5 films explain shit .	shit	0.9753400087356567	bert_jokes	0	1	3
51	51	143206	Rio has turned Hope Solo into public enemy No. 1	AllTheNewsComponentsOne	rio has turned hope solo into public enemy no. 1	rio has turned hope solo into public enemy [MASK] . 1	rio has turned hope solo into public enemy fallout . 1	fallout	0.9971246123313904	bert_jokes	0	1	1
52	52	106180	 People Are Going To Prison Thanks To DNA Software — But How It Works Is Secret	AllTheNewsComponentsOne	people are going to prison thanks to dna software — but how it works is secret	people are going to prison thanks to dna software — but how it works [MASK] secret	people are going to prison thanks to dna software — but how it works top secret	top	0.8928496241569519	bert_jokes	0	3	1
53	53	34837	London Police Chief: Nearly One Third of People Arrested in UK Capital Not British	AllTheNewsComponentsOne	london police chief: nearly one third of people arrested in uk capital not british	london police chief : nearly one third of people [MASK] in uk capital not british	london police chief : nearly one third of people are in uk capital not british	are	0.9946862459182739	bert_jokes	0	2	1
54	54	151754	Britain is changed utterly. Unless this summer is just a bad dream	AllTheNewsComponentsOne	britain is changed utterly. unless this summer is just a bad dream	britain is changed [MASK] . unless this summer is just a bad dream	britain is changed today . unless this summer is just a bad dream	today	0.9498931169509888	bert_jokes	0	2	1
55	55	196838	The things that need to happen for AHCA to pass aren’t yet happening	AllTheNewsKaggle	the things that need to happen for ahca to pass aren ’ t yet happening	the things that need to happen for ahca to pass [MASK] ’ t yet happening	the things that need to happen for ahca to pass ain ’ t yet happening	ain	0.851635217666626	bert_jokes	0	3	1
56	56	215947	Donald Trump is one more bullyboy in a world of strongmen	AllTheNewsComponentsOne	donald trump is one more bullyboy in a world of strongmen	donald trump is one more [MASK] in a world of strongmen	donald trump is one more joke in a world of strongmen	joke	0.8436439037322998	bert_jokes	1	1	3
57	57	103792	 Can A Party Dominated By Trump Convince America It Cares About Poverty?	AllTheNewsComponentsOne	can a party dominated by trump convince america it cares about poverty?	can a party dominated by trump [MASK] america it cares about poverty ?	can a party dominated by trump invade america it cares about poverty ?	invade	0.996880292892456	bert_jokes	1	1	1
58	58	145097	Wall Street just had its worst ever first week to start a year	AllTheNewsComponentsOne	wall street just had its worst ever first week to start a year	wall street just had its worst [MASK] first week to start a year	wall street just had its worst week first week to start a year	week	0.9960513710975647	bert_jokes	0	3	2
59	59	206931	A politician used the n-word in front of black colleagues. He just resigned.	AllTheNewsKaggle	a politician used the n-word in front of black colleagues. he just resigned.	a politician used the n - word in front of black colleagues . he just [MASK] .	a politician used the n - word in front of black colleagues . he just ducked .	ducked	0.9999445676803589	bert_jokes	0	1	3
60	60	16669	Kansas State puts up strong defensive effort in 23-0 shutout of Texas - LA Times	AllTheNewsComponentsOne	kansas state puts up strong defensive effort in 23-0 shutout of texas- la times	kansas state puts up [MASK] defensive effort in 23 - 0 shutout of texas- la times	kansas state puts up highest defensive effort in 23 - 0 shutout of texas- la times	highest	0.0003152937861159444	bert_jokes	0	1	3
61	61	212077	EgyptAir plane made ‘sudden swerves’ before vanishing over Mediterranean	AllTheNewsComponentsOne	egyptair plane made ‘ sudden swerves ’ before vanishing over mediterranean	egyptair plane made ‘ [MASK] swerves ’ before vanishing over mediterranean	egyptair plane made ‘ plane swerves ’ before vanishing over mediterranean	plane	0.01198145281523466	bert_jokes	0	2	2
62	62	30436	Globalist Media Launches Project to ’Show Human Side’ of Mass Migration	AllTheNewsKaggle	globalist media launches project to ’ show human side ’ of mass migration	globalist media launches project to ’ show human side ’ of mass [MASK]	globalist media launches project to ’ show human side ’ of mass culture	culture	0.0001536986383143812	bert_jokes	0	1	3
63	63	104756	 DeRay Mckesson Releases First Campaign Web Videos	AllTheNewsKaggle	deray mckesson releases first campaign web videos	deray mckesson releases first campaign [MASK] videos	deray mckesson releases first campaign advertising videos	advertising	0.0002014001220231876	bert_jokes	0	1	1
64	64	196134	The story behind 84 Lumber’s Super Bowl ad about Trump’s border wall	AllTheNewsKaggle	the story behind 84 lumber ’ s super bowl ad about trump ’ s border wall	the story behind 84 lumber ’ s super bowl [MASK] about trump ’ s border wall	the story behind 84 lumber ’ s super bowl joke about trump ’ s border wall	joke	0.002051601652055979	bert_jokes	0	2	3
65	65	172020	When The U.S. Backs Gay And Lesbian Rights In Africa, Is There A Backlash?	AllTheNewsComponentsOne	when the u. s. backs gay and lesbian rights in africa, is there a backlash?	when the u. s. backs gay and lesbian [MASK] in africa , is there a backlash ?	when the u. s. backs gay and lesbian bars in africa , is there a backlash ?	bars	0.0004715302202384919	bert_jokes	1	1	3
66	66	11033	Man with machete at New Orleans airport critically wounded by police - LA Times	AllTheNewsComponentsOne	man with machete at new orleans airport critically wounded by police- la times	man with machete at new orleans airport critically [MASK] by police- la times	man with machete at new orleans airport critically caught by police- la times	caught	0.00373027240857482	bert_jokes	0	0	3
67	67	183104	France, Italy, Germany defend Paris Accord, say cannot be renegotiated	AllTheNewsComponentsOne	france, italy, germany defend paris accord, say cannot be renegotiated	france , italy , germany defend paris accord , [MASK] can not be renegotiated	france , italy , germany defend paris accord , paris can not be renegotiated	paris	0.0002324748202227056	bert_jokes	0	2	2
68	68	188640	Billionaire green donor launches U.S. millennial voter drive	AllTheNewsKaggle	billionaire green donor launches u. s. millennial voter drive	billionaire green [MASK] launches u. s. millennial voter drive	billionaire green lantern launches u. s. millennial voter drive	lantern	0.0001672266225796193	bert_jokes	2	1	3
69	69	33124	J. Rachel Reed on 'K-9 Korea: The Untold Story of America's War Dogs in the Korean War'	AllTheNewsComponentsOne	j. rachel reed on' k- 9 korea: the untold story of america's war dogs in the korean war'	j. rachel reed on ' k- 9 korea : the untold [MASK] of america 's war dogs in the korean war '	j. rachel reed on ' k- 9 korea : the untold number of america 's war dogs in the korean war '	number	0.0002049904724117368	bert_jokes	0	2	3
70	70	106595	 Scientists Have Created Synthetic Life From Scratch	AllTheNewsComponentsOne	scientists have created synthetic life from scratch	scientists have [MASK] synthetic life from scratch	scientists have been synthetic life from scratch	been	0.07526768743991852	bert_jokes	3	1	2
71	71	171477	Ethiopia Grapples With The Aftermath Of A Deadly Weekend	AllTheNewsComponentsOne	ethiopia grapples with the aftermath of a deadly weekend	ethiopia grapples with the aftermath of a deadly [MASK]	ethiopia grapples with the aftermath of a deadly accident	accident	0.0003030331863556057	bert_jokes	0	3	3
72	72	129322	Phil Jackson has one pressing job that will decide Knicks’ future	AllTheNewsComponentsOne	phil jackson has one pressing job that will decide knicks ’ future	phil jackson has one [MASK] job that will decide knicks ’ future	phil jackson has one last job that will decide knicks ’ future	last	0.0002230815298389643	bert_jokes	0	1	3
73	73	161406	’Swimming In A Trance-Like State’: Paul Simon On Philip Glass	AllTheNewsKaggle	’ swimming in a trance-like state ’: paul simon on philip glass	’ swimming in a trance - like state ’ : paul simon on philip [MASK]	’ swimming in a trance - like state ’ : paul simon on philip underwater	underwater	0.0005178432329557836	bert_jokes	0	0	3
74	74	96964	In Major Abortion Case, Justice Kennedy Offers Few Clues On How He Is Leaning	AllTheNewsComponentsOne	in major abortion case, justice kennedy offers few clues on how he is leaning	in major abortion [MASK] , justice kennedy offers few clues on how he is leaning	in major abortion jokes , justice kennedy offers few clues on how he is leaning	jokes	0.0007297261618077755	bert_jokes	0	0	3
75	75	108442	 Meet The Maserati-Driving Deadhead Lawyer Who Stands Between Hackers And Prison	AllTheNewsComponentsOne	meet the maserati-driving deadhead lawyer who stands between hackers and prison	meet the maserati - driving deadhead lawyer who [MASK] between hackers and prison	meet the maserati - driving deadhead lawyer who walks between hackers and prison	walks	0.001493536052294075	bert_jokes	0	3	3
76	76	69013	The debt bubble is bursting, and there’s ’nowhere to hide’	AllTheNewsKaggle	the debt bubble is bursting, and there ’ s ’ nowhere to hide ’	the debt [MASK] is bursting , and there ’ s ’ nowhere to hide ’	the debt collector is bursting , and there ’ s ’ nowhere to hide ’	collector	0.010474125854671	bert_jokes	0	1	3
77	77	81127	Even Trump’s Supporters Are Wary of ’Rigged’ Rhetoric	AllTheNewsKaggle	even trump ’ s supporters are wary of ’ rigged ’ rhetoric	even trump ’ s supporters are [MASK] of ’ rigged ’ rhetoric	even trump ’ s supporters are full of ’ rigged ’ rhetoric	full	0.0001329384540440515	bert_jokes	0	1	3
78	78	79684	Fidel Castro's 90th Birthday Message	AllTheNewsComponentsOne	fidel castro's 90th birthday message	fidel castro 's 90th [MASK] message	fidel castro 's 90th death message	death	0.004887332208454609	bert_jokes	0	1	3
79	79	138541	This panda is having a better snow day than you	AllTheNewsKaggle	this panda is having a better snow day than you	this panda is having a better [MASK] day than you	this panda is having a better half day than you	half	0.0003561855701263994	bert_jokes	1	1	3
80	80	105853	 Child Found Smuggled In Woman’s Hand Luggage Aboard Air France Flight	AllTheNewsKaggle	child found smuggled in woman ’ s hand luggage aboard air france flight	child found smuggled in [MASK] ’ s hand luggage aboard air france flight	child found smuggled in hitler ’ s hand luggage aboard air france flight	hitler	0.004141678102314472	bert_jokes	1	1	3
81	81	190816	Russia's ruling party wins 51 percent in election: preliminary tally	AllTheNewsComponentsOne	russia's ruling party wins 51 percent in election: preliminary tally	russia 's ruling party wins 51 percent in election : [MASK] tally	russia 's ruling party wins 51 percent in election : russia tally	russia	0.0005832148599438369	bert_jokes	0	1	2
82	82	165057	2 Scientists, 2 Different Approaches To Saving Bees From Poison Dust	AllTheNewsComponentsOne	2 scientists, 2 different approaches to saving bees from poison dust	2 scientists , 2 different [MASK] to saving bees from poison dust	2 scientists , 2 different rules to saving bees from poison dust	rules	0.01447379682213068	bert_jokes	0	3	1
83	83	212833	Alicia Keys is done playing nice. Your phone is getting locked up at her shows now.	AllTheNewsComponentsOne	alicia keys is done playing nice. your phone is getting locked up at her shows now.	alicia keys is done [MASK] nice . your phone is getting locked up at her shows now .	alicia keys is done sounds nice . your phone is getting locked up at her shows now .	sounds	0.9999020099639893	bert_jokes	0	1	2
84	84	217441	Ahead of Trump White House, Obama administration releases memo outlining use of force rules	AllTheNewsComponentsOne	ahead of trump white house, obama administration releases memo outlining use of force rules	ahead of trump white house , obama [MASK] releases memo outlining use of force rules	ahead of trump white house , obama have releases memo outlining use of force rules	have	0.0001494678144808859	bert_jokes	0	1	1
85	85	150956	El Chapo is not a Robin Hood but a ’cancerous tumour’, US prosecutor says	AllTheNewsKaggle	el chapo is not a robin hood but a ’ cancerous tumour ’, us prosecutor says	el chapo is not a robin hood but a ’ cancerous tumour ’ , us prosecutor [MASK]	el chapo is not a robin hood but a ’ cancerous tumour ’ , us prosecutor said	said	0.0004872365097980946	bert_jokes	0	3	3
86	86	181837	Apple to create $1 billion U.S. advanced manufacturing fund	AllTheNewsComponentsOne	apple to create$ 1 billion u. s. advanced manufacturing fund	apple to create$ 1 billion u. s. advanced [MASK] fund	apple to create$ 1 billion u. s. advanced stock fund	stock	0.000355550815584138	bert_jokes	0	3	3
87	87	34429	Dow Jones Has Best Week Since 2011 Due to Trump Election Win	AllTheNewsComponentsOne	dow jones has best week since 2011 due to trump election win	dow jones has best [MASK] since 2011 due to trump election win	dow jones has best joke since 2011 due to trump election win	joke	0.5675542950630188	bert_jokes	0	1	2
88	88	211080	Trump plans a series of policy speeches	AllTheNewsKaggle	trump plans a series of policy speeches	trump plans a [MASK] of policy speeches	trump plans a book of policy speeches	book	0.0001229668996529654	bert_jokes	0	3	3
89	89	196346	Mark Zuckerberg’s theory of human history	AllTheNewsKaggle	mark zuckerberg ’ s theory of human history	mark zuckerberg ’ s theory of [MASK] history	mark zuckerberg ’ s theory of binary history	binary	0.001309882034547627	bert_jokes	0	1	2
90	90	214042	How journalists can do their crucial job in the next 100 days	AllTheNewsKaggle	how journalists can do their crucial job in the next 100 days	how journalists can do their crucial [MASK] in the next 100 days	how journalists can do their crucial shit in the next 100 days	shit	0.0004213826032355428	bert_jokes	0	1	3
91	91	72379	Depressing new photos show Europe’s Mars probe exploded into pieces	AllTheNewsKaggle	depressing new photos show europe ’ s mars probe exploded into pieces	depressing new [MASK] show europe ’ s mars probe exploded into pieces	depressing new studies show europe ’ s mars probe exploded into pieces	studies	0.04928440228104591	bert_jokes	0	3	3
92	92	13460	Review: 'A Wonderful Cloud' works well in an L.A. full of oddballs - LA Times	AllTheNewsComponentsOne	review:' a wonderful cloud' works well in an l. a. full of oddballs- la times	review : ' a wonderful [MASK] ' works well in an l. a. full of oddballs- la times	review : ' a wonderful joke ' works well in an l. a. full of oddballs- la times	joke	0.02718786709010601	bert_jokes	0	1	3
93	93	73662	Deciphering the Bizarre Twist Ending of Split	AllTheNewsComponentsOne	deciphering the bizarre twist ending of split	deciphering the [MASK] twist ending of split	deciphering the final twist ending of split	final	0.2636411488056183	bert_jokes	0	3	2
94	94	161618	Army Says It Is Expediting Review Of Dakota Access Pipeline Route	AllTheNewsKaggle	army says it is expediting review of dakota access pipeline route	army says it is expediting [MASK] of dakota access pipeline route	army says it is expediting construction of dakota access pipeline route	construction	0.0001477767364121974	bert_jokes	0	2	2
